咖啡豆评测榜单2025（仅代表个人喜好）,,,,,,,,,,,,
序号,品牌,咖啡豆,烘焙度,克价（元）,喜好星值,视频期数,美式,奶咖,备注,购买渠道,,
0,清罗咖啡,椰风海岛,深度,0.79,0,28,0,0,💩💩💩💩💩,淘宝,,
0,闽长香,意式1号,中深度,0.34,0,8,0,0,💩,淘宝,,
0,喵小雅,熔岩黑巧拼配,中深度,0.15,0,16,0,0,💩,淘宝,,
0,咖啡汤,夜曲,中深度,0.26,0,19,0,0,💩,小红书,,
1,IRIS,彩云之南,深度,0.13,3,1,2,2,入门浓郁,淘宝,,
2,IRIS,云南之光,中度,0.13,3,2,2,2,入门，葡萄、葡萄酒风味，不精致,淘宝,,
3,良致,红沙丘,深度,0.21,3,3,3,3.5,口感干净的巧克力,淘宝,,
4,圣德纳,哥斯达黎加SOE,深度,0.39,4,4,4,4.5,断货,淘宝,,
5,辛鹿,橘香茉莉,中深度,0.15,3,5,2,3,有茉莉花茶感，风味强度不高，性价比,淘宝,,
6,咖啡小镇,茉莉山雪,中度,0.17,2,6,2,3,窨制处理，茉莉花茶味较为具象,淘宝,,
7,山姆,西达摩,中度,0.16,1,7,1,1,#¥%……&*,淘宝,,
8,布蕾克,云南醒醒意式,中深度,0.098,2,9,1,1.5,便宜，牛马快乐水，喝多了会兴奋,淘宝,,
9,草莓,白金之心0.4,中度,0.235,4,10,4,4.5,干净，甜度高，精致的柑橘橙子,快团团,,
10,如光咖啡,格兰芬多拼配,中度,0.48,4,11,4,4.5,精致的果香，价高物有所值，细糠,淘宝,,
11,Wood Coffee,椰子奶糖,中深,0.21,3,12,2.5,4,美式有点烂水果，奶咖能压住,淘宝,,
12,BOB Coffee,曼特宁玉龙,中度,0.3,3,13,3,3,定位略有点尴尬,淘宝,,
13,BOB Coffee,瑰夏SOE,中度,0.3,3,14,3,4,爱喝奶咖的话其实挺不错的,淘宝,,
14,柯林咖啡,太阳耀斑,中深,0.2,4,15,3.5,4,口粮豆，酸苦平衡，性价比也 OK,淘宝,,
15,菠萝咖啡橙子,国王拼配,中深,0.456,3,17,4,4,好喝，均衡，价格看人,淘宝,,
16,有容乃大,冬季拼配,浅度,0.47,4,18,4,4.5,成分复杂，但是好喝，层次丰富，酸质精致,淘宝,,
17,果子星,狂野绅士,深度,0.176,2,20,2,3,浓苦，奶咖不错，性价比一般,淘宝,,
18,白鲸,三重奏拼配,深度,0.27,5,21,4,4.5,好喝，浓郁饱满巧克力，奶咖一绝,淘宝,,
19,京东京造,臻巧四重奏,深度,0.12,2,22,2,2,IIAC里算好的豆子,京东,,
20,BOB,坚果意式胖胖,中深,0.167,2,23,2.5,3,BOB比较失误的一款,淘宝,,
21,绝对小孩,瑰宝瑰夏,中度,0.224,4,24,4,4,性价比高的果汁豆，苹果汁,淘宝,,
22,Lavazza,醇香意式拼配,深度,0.158,3,25,3,3.5,比较老派的烘焙风格，含罗,淘宝,,
23,咖啡小镇,舒伯特玫瑰（黑标）,中深,0.215,3,26,3,3.5,味道不错，性价比一般,淘宝,,
24,Lumos,赫奇帕奇,深度,0.255,4,27,4,4.5,性价比高的口粮豆，精致巧克力,淘宝,,
25,有容乃大,春季拼配,浅度,0.55,4,29,4,4,好喝，清澈酸度不高的果汁，有绿茶韵味,淘宝,,
26,Manner,小法棍,深度,0.2,2,30,2,2.5,高温有枯木，奶咖有坚果巧克力，尾韵苦,淘宝,,
27,Soft Pillow,草莓软糖,中度,0.39,1,31,1,1,草莓香精,淘宝,,
28,河川水流,一点海盐,浅度,0.69,4.5,32,5,5,非常好喝的果汁豆，奶咖甜度极高，纯粹,淘宝&快团团,,
29,明谦,潘玮拼配,中深度,0.28,2,33,2,2.5,发酵感重，性价比普通,淘宝,,
30,illy,中度烘焙,中度,0.34,3,34,3,3.5,大品牌稳定性高，品质有保障，性价比普通,淘宝 ,,
31,辛鹿,野草莓,中深,0.17,3,35,3,3,甜度干净度不错，性价比过关,淘宝,,
32,Grand Cru,草莓舒芙蕾,深度,0.128,4,36,3.5,4,风味强度高，精致程度不足，性价比无敌,淘宝,,
33,IRIS,芝士豆豆,中度,0.22,1,37,2,2.5,疑似香精豆,淘宝,,
34,艾斯品,小甜杆,中深,0.28,2,38,2,2,生豆品质存疑,淘宝,, 
35,绝对小孩,甜心滑手拼配,中深,0.28,1,39,1.5,2,疑似xjd,淘宝,,
36,佩植咖啡,半熟芝士,中度,0.26,2,40,1.5,2,疑似香精豆,淘宝,,
37,鬼叔,4号拼配 ,中度,0.18,3,41,2,2.5,小众，猎奇、明显苦和木质调，不错的干净度，也有甜度,抖音,,
38,菠萝咖啡橙子,云南黑三剁,中深度,0.34,2,42,2,2.5,高温轻微杂，明显葡萄干，尾韵泥土,淘宝,,
39,白鲸咖啡,沙丘,浅度,0.39,4,43,4,4,丰富的精致果酸，干净度高，成熟凤梨,淘宝,,
40,河川水流,冲浪拼配, 中深,0.27,3,44,3,3.5,甜度突出，有明显的麻涩感，果酸比例不高,,,
41,良致,深深拼配,深度,0.29,4,45,4,4.5,精致，纯粹的生巧克力，奶咖非常棒,淘宝,,
42,良致,龙眼瑰夏,中浅度,0.39,3,46,3,3.5.,甜度干净度都不错，但是酸质接受度不高,淘宝,,
43,白鲸咖啡,当你微笑时,中度,0.34,3,47,3,4,美式有金属味，奶咖不错,淘宝,,
44,汤咖,银河 S3拼配,深度,0.19,2,48,2,2,刺激感强，苦味强，奶咖凑合，性价比低,抖音,,
45,啡舍,瑰夏山SOE1,中度,0.27,2,49,2.5,2.5,风味强度高的，但是尾韵有明显的苦，根茎味,淘宝,,
46,GrandCru,Elto SOE,中度,0.26,4,50,4,4,不耐萃，要按照萃取建议去做，风味强度还是够的,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
